ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
4/7/2013,2013,130401354,123,SUN,1,4663
7/24/2011,2011,110704610,1936,SUN,1,4663
11/6/2011,2011,111101167,252,SUN,1,4664
4/14/2010,2010,100401525,2310,WED,0,4664
12/30/2012,2012,121211032,123,SUN,1,4664
10/20/2010,2010,101003898,45,WED,0,4665
7/27/2013,2013,130707345,2359,SAT,1,4671
10/6/2011,2011,111001748,2318,THU,0,4672
3/19/2011,2011,110303719,1717,SAT,1,4672
3/22/2013,2013,130306341,2001,FRI,1,4672
4/27/2013,2013,130406602,0,SAT,1,4672
8/19/2012,2012,120805667,527,SUN,1,4672
9/17/2010,2010,100906988,210,FRI,0,4673
7/26/2014,2014,140706391,245,SAT,1,4673
9/26/2010,2010,100909259,540,SUN,1,4674
9/26/2010,2010,100905239,525,SUN,1,4674
3/19/2011,2011,110304674,0,SAT,1,4675
12/2/2011,2011,111200938,2230,FRI,1,4675
11/17/2012,2012,121105128,229,SAT,1,4675
8/25/2012,2012,120808933,2022,SAT,1,4675
1/12/2011,2011,110103408,2058,WED,0,4675
3/27/2010,2010,100307479,2326,SAT,1,4676
8/5/2012,2012,120800684,16,SUN,1,4676
6/16/2012,2012,120605720,2330,SAT,1,4677
12/18/2010,2010,101208521,200,SAT,1,4677
1/20/2014,2014,140106407,1432,MON,0,4680
10/8/2011,2011,111003058,230,SAT,1,4680
7/15/2010,2010,100708995,1203,THU,0,4680
10/5/2013,2013,131001313,1918,SAT,1,4681
2/27/2012,2012,120207754,1603,MON,0,4682
12/17/2010,2010,101204658,219,FRI,0,4682
9/10/2010,2010,100901963,353,FRI,0,4683
10/24/2013,2013,131007039,1926,THU,0,4684
8/15/2013,2013,130803666,1350,THU,0,4685
11/21/2011,2011,111109720,1330,MON,0,4686
12/21/2013,2013,131207242,235,SAT,1,4686
5/3/2010,2010,100500236,1440,MON,0,4686
7/16/2012,2012,120702969,2346,MON,0,4686
12/22/2014,2014,141210702,1,MON,1,4686
10/31/2010,2010,101008577,1042,SUN,1,4687
3/30/2012,2012,120307211,2015,FRI,1,4687
12/26/2013,2013,131210040,2323,THU,0,4687
3/30/2012,2012,120309157,2015,FRI,1,4687
8/20/2012,2012,120805965,1731,MON,0,4687
10/28/2012,2012,121008841,144,SUN,1,4687
6/29/2014,2014,140608792,304,SUN,1,4687
8/6/2014,2014,140801051,1545,WED,0,4689
11/19/2010,2010,101108227,1951,FRI,1,4690
6/10/2010,2010,100602122,312,THU,0,4694
9/22/2013,2013,130905502,300,SUN,1,4694
7/18/2013,2013,130704961,300,THU,0,4694
10/31/2013,2013,131010681,300,THU,0,4694
10/4/2013,2013,131004040,2124,FRI,1,4694
10/3/2013,2013,131000186,37,THU,0,4694
10/16/2010,2010,101003326,1818,SAT,1,4694
5/7/2011,2011,110502275,2109,SAT,1,4695
11/27/2010,2010,101105876,340,SAT,1,4696
1/12/2013,2013,130103631,1320,SAT,1,4697
3/18/2012,2012,120305203,1524,SUN,1,4697
12/14/2014,2014,141204488,2259,SUN,1,4697
3/5/2014,2014,140301364,2020,WED,0,4697
7/3/2010,2010,100705039,2335,SAT,1,4697
6/2/2013,2013,130601228,1207,SUN,1,4697
7/16/2011,2011,110707101,2224,SAT,1,4697
1/8/2011,2011,110103113,250,SAT,1,4698
4/8/2012,2012,120403011,2130,SUN,1,4698
9/15/2014,2014,140904313,1602,MON,0,4699
8/19/2011,2011,110805061,945,FRI,0,4699
12/15/2014,2014,141211661,1630,MON,0,4700
8/27/2011,2011,110805058,320,SAT,1,4700
4/22/2013,2013,130405945,1852,MON,0,4702
9/14/2013,2013,130907009,301,SAT,1,4718
8/28/2010,2010,100808844,615,SAT,1,4719
1/13/2012,2012,120107412,942,FRI,0,4719
5/7/2010,2010,100509514,214,FRI,0,4719
11/16/2013,2013,131113893,1750,SAT,1,4719
9/14/2013,2013,130909610,1707,SAT,1,4719
9/13/2010,2010,100907806,1516,MON,0,4719
1/1/2010,2010,100109191,2145,FRI,1,4719
9/15/2012,2012,120908482,1357,SAT,1,4719
5/4/2010,2010,100506637,1,TUE,0,4719
5/4/2010,2010,100509543,4,TUE,0,4719
2/9/2012,2012,120206653,220,THU,0,4719
6/19/2011,2011,110609854,2217,SUN,1,4719
1/8/2011,2011,110112146,1922,SAT,1,4719
1/19/2013,2013,130109316,1939,SAT,1,4719
5/6/2011,2011,110503910,2054,FRI,1,4720
11/4/2010,2010,101112752,2007,THU,0,4720
4/7/2011,2011,110402754,150,THU,0,4720
3/31/2013,2013,130308839,105,SUN,1,4720
9/18/2013,2013,130908251,1509,WED,0,4721
6/13/2011,2011,110602854,2146,MON,0,4721
3/4/2014,2014,140301247,250,TUE,0,4722
9/17/2014,2014,140904877,1850,WED,0,4728
9/29/2011,2011,110905616,250,THU,0,4728
11/29/2013,2013,131111831,730,FRI,0,4729
5/28/2011,2011,110508263,1802,SAT,1,4730
2/17/2010,2010,100203509,2110,WED,0,4730
3/3/2012,2012,120302415,600,SAT,1,4731
5/25/2011,2011,110505319,1642,WED,0,4731
12/11/2012,2012,121205838,26,TUE,0,4732
7/15/2011,2011,110706791,540,FRI,0,4732
1/1/2012,2012,120105551,622,SUN,1,4732
6/25/2010,2010,100608231,619,FRI,0,4732
7/17/2010,2010,100707281,1644,SAT,1,4737
6/27/2012,2012,120608458,1834,WED,0,4747
6/9/2013,2013,130604430,250,SUN,1,4755
10/5/2012,2012,121001062,30,FRI,0,4757
10/22/2011,2011,111006774,133,SAT,1,4757
3/6/2012,2012,120301403,2203,TUE,0,4757
4/14/2012,2012,120402277,300,SAT,1,4757
8/17/2011,2011,110802928,1434,WED,0,4758
4/4/2010,2010,100404188,100,SUN,1,4758
7/3/2011,2011,110701479,107,SUN,1,4759
7/17/2010,2010,100708993,0,SAT,1,4760
2/10/2010,2010,100202947,2130,WED,0,4760
4/10/2010,2010,100404191,251,SAT,1,4760
12/21/2014,2014,141207837,1840,SUN,1,4760
11/30/2011,2011,111110977,2300,WED,0,4761
10/14/2010,2010,101011093,2207,THU,0,4761
9/5/2014,2014,140901798,1915,FRI,1,4761
9/26/2014,2014,140907042,2345,FRI,1,4765
3/14/2010,2010,100304543,1739,SUN,1,4765
